Qubit,Value,RGB1,RGB2,RGB3,Active
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.005237088261890788,0.8106543271652416,0.9218447051984724,0.9373759048616408,1
Q2,0.003697172933278714,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q3,0.004302337762015977,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q4,0.0020173984579443137,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q5,0.0012462114488569307,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q6,0.0008315926594093375,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q7,0.002705017340252083,0.10361479515598847,0.09497494261006116,0.20622110711523312,0
Q8,0.0025560204928852938,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q9,0.0024620664613498057,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q10,0.0019253695208109932,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q11,0.004780003813951131,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q12,0.00344192738273633,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q13,0.002971789919311402,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.0007235382072238195,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,0.0007989766502390007,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q3,0.0021019856948931775,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q4,0.0008119178977888535,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q5,0.0009783700267168296,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q6,0.000830570912346849,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q7,0.0011982031570301817,0.10361479515598847,0.09497494261006116,0.20622110711523312,0
Q8,0.0011425235143165161,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q9,0.0012195507475785436,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q10,0.000650468449298334,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q11,0.0010560634675206026,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q12,0.0008520512899955844,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q13,0.0006886864712775204,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.0024361814372426413,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,0.001863888364498239,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q3,0.00470655144217282,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q4,0.002587936425691371,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q5,0.0021223953682611677,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q6,0.001197241007888127,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q7,0.0028107636263126116,0.10361479515598847,0.09497494261006116,0.20622110711523312,0
Q8,0.002587592253158509,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q9,0.001991756507345829,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q10,0.0021431253634937625,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q11,0.0050872246591055145,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q12,0.004006357742663636,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q13,0.0037376450200201005,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.00509668730989755,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,0.004467217956364675,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q3,0.006160818204382595,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
