Qubit,Value,RGB1,RGB2,RGB3,Active
Q0,0.0026830433025290218,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q1,0.004484916202684707,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q2,0.0050196266079677795,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q3,0.0075565690325210665,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q4,0.0037902942297531354,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q5,0.0035404987406334612,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q6,0.002098622143310522,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q7,0.00578907821087896,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q8,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q9,0.003235816389948449,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q10,0.002731967025929263,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q11,0.0056661353690905195,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q12,0.005858972825643993,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q13,0.004782338201330961,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q0,0.006210315035355383,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q1,0.010641229734980138,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q2,0.009734641827529688,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q3,0.016335436940289244,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q4,0.005538729869345872,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q5,0.006054794502303517,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q6,0.003962848516432363,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q7,0.009090043676094584,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q8,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q9,0.0073897838259606215,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q10,0.011268090716680555,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q11,0.017228155922466265,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q12,0.009115492764967028,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q13,0.01045016386950227,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q0,0.0018598157798869004,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q1,0.003544445519109004,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q2,0.0035164014072957867,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q3,0.004710642520748964,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q4,0.0025536674917623816,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q5,0.00266524253508404,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q6,0.0023247458691080265,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q7,0.004474459343865831,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q8,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q9,0.003219511031760413,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q10,0.00206739017228425,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q11,0.005985625248845435,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q12,0.003907068623918424,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q13,0.004030732459050769,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q0,0.002172819624808539,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q1,0.004090842787672824,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q2,0.003607347752740791,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q3,0.004726761989156955,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q4,0.0026603837391544244,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q5,0.0024890449914735098,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q6,0.0019292123152481223,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q7,0.004787534612032846,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q8,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q9,0.0028839364190512617,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q10,0.0027381986667789756,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q11,0.0031865492410726496,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q12,0.003932824994434021,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q13,0.0032922261965880953,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q0,0.014430322598962143,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q1,0.023717674043886642,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q2,0.013194026389670054,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q3,0.027928886716697778,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q4,0.01540951960508914,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q5,0.0208339524795437,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q6,0.013590049289299463,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q7,0.022317623349653978,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q8,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q9,0.018092922413559115,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q10,0.01695766911190387,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q11,0.025997921922235177,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q12,0.019796612938233964,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q13,0.01953016656483337,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q0,0.01101097219030912,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q1,0.015784811202021444,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q2,0.013536466465020242,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q3,0.023221391168192967,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q4,0.013850781180472413,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q5,0.021404200432092443,0.763897854764939,0.7572688769419182,0.9494023023345208,0
