Qubit,Value,RGB1,RGB2,RGB3,Active
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.000446759978827521,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,3.4279127946375894e-5,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q3,7.030564591719608e-5,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q4,1.0935248316119407e-5,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q5,4.139985690895066e-5,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q6,1.8570158374669123e-5,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q7,2.140211760655698e-5,0.10361479515598847,0.09497494261006116,0.20622110711523312,0
Q8,1.6519251595427786e-5,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q9,0.00022321713780251633,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q10,1.8749240664273303e-5,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q11,4.54079571721937e-5,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q12,6.833479303106525e-5,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q13,0.00012742096782466673,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.0002975189417683898,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,-2.0535784465113367e-19,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q3,3.987223525068396e-18,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q4,-3.074591479280111e-19,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q5,5.348493813161667e-18,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q6,-9.751890887026307e-19,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q7,-2.672587637947246e-18,0.10361479515598847,0.09497494261006116,0.20622110711523312,0
Q8,-1.0177125943647797e-16,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q9,7.98062771253436e-19,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q10,2.230063187872106e-18,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q11,-1.4831531547181911e-18,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q12,-9.822754451355423e-17,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q13,8.54858371673837e-5,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.0001492410370591312,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,3.42791279463761e-5,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q3,7.03056459171921e-5,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q4,1.0935248316119714e-5,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q5,4.139985690894531e-5,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q6,1.85701583746701e-5,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q7,2.1402117606559653e-5,0.10361479515598847,0.09497494261006116,0.20622110711523312,0
Q8,1.651925159552956e-5,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q9,0.00022321713780251555,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q10,1.8749240664271074e-5,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q11,4.540795717219518e-5,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q12,6.833479303116348e-5,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q13,4.193513065728303e-5,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q0,0.000446759978827521,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,0.0008362227310935469,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q3,0.0008001391365167136,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q4,0.0001877139971981802,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q5,0.00013172339902960259,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q6,0.00021966103820173744,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q7,0.000538071721834647,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q8,0.0002443840436327385,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q9,0.000715008811788173,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q10,0.0004745016581331725,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q11,0.0002725099677404764,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q12,0.0004734109495833114,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q13,0.001945967176181208,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q0,0.0002975189417683898,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,8.459837434497573e-5,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q3,-1.0319942452796063e-16,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q4,8.50110216148835e-19,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q5,2.1271244511348556e-19,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q6,3.3265686837748615e-18,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q7,7.188758473906388e-19,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
